WebPartName;WebPartId
ContentRollup;daf0b71c-6de8-4ef7-b511-faae7c388708
BingMap;e377ea37-9047-43b9-8cdb-a761be2f8e09
ContentEmbed;490d7c76-1824-45b2-9de3-676421c997fa
DocumentEmbed;b7dd04e1-19ce-4b24-9132-b60a1c2b910d
Image;d1d91016-032f-456d-98a4-721247c305e8
ImageGallery;af8be689-990e-492a-81f7-ba3e4cd3ed9c
LinkPreview;6410b3b6-d440-4663-8744-378976dc041e
NewsFeed;0ef418ba-5d19-4ade-9db0-b339873291d0
NewsReel;a5df8fdf-b508-4b66-98a6-d83bc2597f63
PowerBIReportEmbed;58fcd18b-e1af-4b0a-b23b-422c2c52d5a2
QuickChart;91a50c94-865f-4f5c-8b4e-e49659e69772
SiteActivity;eb95c819-ab8f-4689-bd03-0c2d65d47b1f
VideoEmbed;275c0095-a77e-4f6d-a2a0-6a7626911518
YammerEmbed;31e9537e-f9dc-40a4-8834-0e3b7df418bc
Events;20745d7d-8581-4a6c-bf26-68279bc123fc
GroupCalendar;6676088b-e28e-4a90-b9cb-d0d0303cd2eb
Hero;c4bd7b2f-7b6e-4599-8485-16504575f590
List;f92bf067-bc19-489e-a556-7fe95f508720
PageTitle;cbe7b0a9-3504-44dd-a3a3-0e5cacd07788
People;7f718435-ee4d-431c-bdbf-9c4ff326f46e
QuickLinks;c70391ea-0b10-4ee9-b2b4-006d3fcad0cd
CustomMessageRegion;71c19a43-d08c-4178-8218-4df8554c0b0e
Divider;2161a1c6-db61-4731-b97c-3cdb303f7cbb
MicrosoftForms;b19b3b9e-8d13-4fec-a93c-401a091c0707
Spacer;8654b779-4886-46d4-8ffb-b5ed960ee986
ClientWebPart;243166f5-4dc3-4fe2-9df2-a7971b546a0a
PowerApps;9d7e898c-f1bb-473a-9ace-8b415036578b
CodeSnippet;7b317bca-c919-4982-af2f-8399173e5a1e
PageFields;cf91cf5d-ac23-4a7a-9dbc-cd9ea2a4e859
Weather;868ac3c3-cad7-4bd6-9a1c-14dc5cc8e823
YouTube;544dd15b-cf3c-441b-96da-004d5a8cea1d
MyDocuments;b519c4f1-5cf7-4586-a678-2f1c62cc175a
YammerFullFeed;cb3bfe97-a47f-47ca-bffb-bb9a5ff83d75
CountDown;62cac389-787f-495d-beca-e11786162ef4
ListProperties;a8cd4347-f996-48c1-bcfb-75373fed2a27
MarkDown;1ef5ed11-ce7b-44be-bc5e-4abd55101d16
Planner;39c4c1c2-63fa-41be-8cc2-f6c0b49b253d
Twitter;f6fdf4f8-4a24-437b-a127-32e66a5dd9b4
AmazonKindle;46698648-fcd5-41fc-9526-c7f7b2ace919
Connector;893a257e-9c92-49bc-8a36-2f6bb058da34
FeaturedNews;8c88f208-6c77-4bdb-86a0-0c47b4316588